flu_season,year_week,region,number_healthcare_workers,number_cases,population,incidence,cases_0-4,inc_0-4,cases_5-14,inc_5-14,cases_15-64,inc_15-64,cases_65+,inc_65+
2011-2012,2012-01,Piedmont,40,299,53324,5.61,21,7.56,33,5.87,204,6.27,41,3.31
2011-2012,2012-01,Aosta Valley,7,23,9475,2.43,3,3.91,2,1.75,15,2.71,3,1.48
2011-2012,2012-01,Lombardy,122,409,172450,2.37,58,4.46,53,2.35,255,2.53,43,1.19
2011-2012,2012-01,AP Bolzano,8,29,13674,2.12,2,5,3,2.33,24,2.63,0,0
2011-2012,2012-01,AP Trento,11,46,14293,3.22,13,12.38,9,3,22,2.84,2,0.8
2011-2012,2012-01,Veneto,76,200,99447,2.01,17,2.34,17,1.22,125,2.19,41,1.94
2011-2012,2012-01,Friuli-Venezia Giulia,15,26,18985,1.37,3,1.49,3,0.89,17,1.77,3,0.76
2011-2012,2012-01,Liguria,35,63,42834,1.47,19,7.55,8,1.82,29,1.17,7,0.63
2011-2012,2012-01,Emilia-Romagna,62,269,80350,3.35,50,7.22,57,4.28,136,3.14,26,1.55
2011-2012,2012-01,Tuscany,43,201,54176,3.71,15,5.2,28,4.76,134,4.15,24,1.82
2011-2012,2012-01,Umbria,13,36,16705,2.16,8,6.41,14,5.41,9,0.99,5,1.34
2011-2012,2012-01,Marche,17,43,20853,2.06,7,2.72,5,1.01,23,2.4,8,2.11
2011-2012,2012-01,Lazio,63,267,81360,3.28,47,8.88,52,5.18,147,2.92,21,1.34
2011-2012,2012-01,Abruzzo,19,46,18136,2.54,12,6.04,9,2.19,16,1.81,9,2.82
2011-2012,2012-01,Molise,0,0,0,0,0,0,0,0,0,0,0,0
2011-2012,2012-01,Campania,63,380,76497,4.97,54,8.79,79,5.71,205,4.62,42,3.45
2011-2012,2012-01,Apulia,107,145,138864,1.04,16,2.25,15,1,101,1.11,13,0.51
2011-2012,2012-01,Basilicata,1,1,1511,0.66,0,0,0,0,0,0,1,3.08
2011-2012,2012-01,Calabria,11,32,15114,2.12,6,4.83,11,4.44,12,1.36,3,1.16
2011-2012,2012-01,Sicily,49,236,64828,3.64,18,11.89,15,4.17,174,3.77,29,2.14
2011-2012,2012-01,Sardinia,6,27,6131,4.4,2,2.53,4,2.24,12,4.94,9,8.03
2011-2012,2012-02,Piedmont,37,325,48126,6.75,26,9.44,35,6.41,218,7.55,46,4.17
2011-2012,2012-02,Aosta Valley,6,25,8594,2.91,3,7.75,2,3.11,17,3.07,3,1.48
2011-2012,2012-02,Lombardy,136,671,189595,3.54,121,8.37,82,3.23,393,3.57,75,1.88
2011-2012,2012-02,AP Bolzano,8,37,13895,2.66,13,18.36,5,2.03,15,1.83,4,1.6
2011-2012,2012-02,AP Trento,12,112,15824,7.08,20,18,42,14.54,45,5.06,5,1.7
2011-2012,2012-02,Veneto,79,300,102254,2.93,28,3.86,33,2.36,204,3.46,35,1.59
2011-2012,2012-02,Friuli-Venezia Giulia,16,28,22079,1.27,2,2.06,1,0.39,20,1.52,5,0.93
2011-2012,2012-02,Liguria,40,116,49345,2.35,16,5.38,22,4.39,68,2.37,10,0.79
2011-2012,2012-02,Emilia-Romagna,75,471,98258,4.79,72,10.42,66,4.87,284,5.03,49,2.3
2011-2012,2012-02,Tuscany,42,274,53112,5.16,20,9.33,40,7.28,163,5.01,51,3.94
2011-2012,2012-02,Umbria,13,43,15583,2.76,10,6.58,18,5.57,14,1.82,1,0.32
2011-2012,2012-02,Marche,15,77,18119,4.25,11,4.34,14,2.78,40,5.17,12,4.26
2011-2012,2012-02,Lazio,68,425,87029,4.88,67,12.74,74,7.21,251,4.6,33,1.95
2011-2012,2012-02,Abruzzo,15,25,13083,1.91,12,5.95,6,1.66,5,0.93,2,0.97
2011-2012,2012-02,Molise,13,54,15369,3.51,14,9.7,19,6.24,18,2.43,3,0.87
2011-2012,2012-02,Campania,47,392,55356,7.08,99,14.78,100,7.19,158,5.92,35,4.33
2011-2012,2012-02,Apulia,120,271,153318,1.77,45,4.65,45,2.35,156,1.61,25,0.9
2011-2012,2012-02,Basilicata,1,4,1511,2.65,0,0,0,0,4,3.41,0,0
2011-2012,2012-02,Calabria,13,48,17371,2.76,7,3.81,12,3.03,23,2.55,6,2.37
2011-2012,2012-02,Sicily,47,286,60222,4.75,13,8.8,31,9.25,188,4.4,54,4.25
2011-2012,2012-02,Sardinia,6,13,5412,2.4,8,7.77,3,1.33,2,1.41,0,0
2011-2012,2012-03,Piedmont,40,411,53039,7.75,69,20.38,72,11.81,227,7.1,43,3.72
2011-2012,2012-03,Aosta Valley,7,37,9432,3.92,4,5.21,7,6.15,17,3.11,9,4.36
2011-2012,2012-03,Lombardy,144,1187,200217,5.93,304,17.6,342,11.72,474,4.19,67,1.65
2011-2012,2012-03,AP Bolzano,10,67,16699,4.01,12,17.19,21,8.44,33,3.17,1,0.32
2011-2012,2012-03,AP Trento,14,197,18606,10.59,56,39.19,73,20.66,61,5.88,7,2.14
2011-2012,2012-03,Veneto,77,547,99328,5.51,145,19.97,108,7.74,248,4.36,46,2.16
2011-2012,2012-03,Friuli-Venezia Giulia,18,50,24106,2.07,14,6.89,5,1.39,26,1.99,5,0.93
2011-2012,2012-03,Liguria,38,152,45576,3.34,36,14.22,35,7.73,69,2.58,12,1.02
2011-2012,2012-03,Emilia-Romagna,75,744,97702,7.61,198,23.08,146,9.18,354,6.63,46,2.32
2011-2012,2012-03,Tuscany,44,373,55292,6.75,56,21.45,70,11.52,197,5.93,50,3.73
2011-2012,2012-03,Umbria,11,41,13855,2.96,9,9.42,19,9.23,12,1.58,1,0.31
2011-2012,2012-03,Marche,21,386,24294,15.89,192,48.19,117,16.12,68,7.3,9,2.41
2011-2012,2012-03,Lazio,70,660,89271,7.39,140,22.08,151,12.64,328,6.05,41,2.45
2011-2012,2012-03,Abruzzo,19,104,17945,5.8,29,11.89,47,10.6,18,2.21,10,3.41
2011-2012,2012-03,Molise,14,223,16130,13.83,79,41.27,87,25.44,40,5.44,17,4.95
2011-2012,2012-03,Campania,56,660,68954,9.57,158,22.14,214,15.15,252,6.6,36,3.78
2011-2012,2012-03,Apulia,116,519,150404,3.45,111,12.27,170,9.37,202,2.11,36,1.32
2011-2012,2012-03,Basilicata,0,0,0,0,0,0,0,0,0,0,0,0
2011-2012,2012-03,Calabria,16,106,21005,5.05,20,8.99,41,9.1,39,3.56,6,1.81
2011-2012,2012-03,Sicily,49,305,65255,4.67,25,19.78,58,18.31,189,4.06,33,2.31
2011-2012,2012-03,Sardinia,7,89,6933,12.84,54,51.82,13,5.6,15,6.12,7,6.24
2011-2012,2012-04,Piedmont,41,541,53514,10.11,76,27.53,124,22.03,290,8.81,51,4.17
2011-2012,2012-04,Aosta Valley,7,58,8564,6.77,16,14.65,18,12.89,20,4.59,4,2.32
2011-2012,2012-04,Lombardy,144,1702,201626,8.44,421,25.83,491,16.95,696,6.05,94,2.27
2011-2012,2012-04,AP Bolzano,7,69,12129,5.69,17,28.19,15,6.85,35,4.84,2,0.95
2011-2012,2012-04,AP Trento,14,252,18382,13.71,96,67.18,75,20.84,73,7.21,8,2.48
2011-2012,2012-04,Veneto,77,921,100504,9.16,264,37.84,233,17.52,376,6.42,48,2.21
2011-2012,2012-04,Friuli-Venezia Giulia,19,64,25222,2.54,16,7.92,21,5.78,24,1.73,3,0.53
2011-2012,2012-04,Liguria,36,264,42053,6.28,60,23.71,86,19.1,108,4.48,10,0.92
2011-2012,2012-04,Emilia-Romagna,79,1136,104693,10.85,337,48.81,258,19.45,456,7.44,85,3.66
2011-2012,2012-04,Tuscany,48,408,60803,6.71,69,26.43,101,16.52,200,5.37,38,2.56
2011-2012,2012-04,Umbria,12,69,14718,4.69,13,10.41,32,12.67,22,2.82,2,0.64
2011-2012,2012-04,Marche,21,414,23383,17.71,136,41,162,24.62,103,10.28,13,3.75
2011-2012,2012-04,Lazio,70,1031,87789,11.74,252,39.77,273,23.73,457,8.63,49,2.88
2011-2012,2012-04,Abruzzo,20,221,19413,11.38,59,24.09,94,22.84,44,4.61,24,7.24
2011-2012,2012-04,Molise,13,215,15262,14.09,77,53.32,67,22.1,53,7.21,18,5.24
2011-2012,2012-04,Campania,70,1059,86487,12.24,281,33.67,319,18.47,401,8.37,58,4.48
2011-2012,2012-04,Apulia,116,717,151117,4.74,124,16,243,14.64,318,3.2,32,1.16
2011-2012,2012-04,Basilicata,1,7,1503,4.66,0,0,0,0,5,4.33,2,6.21
2011-2012,2012-04,Calabria,15,121,20465,5.91,36,23.47,38,11,44,3.65,3,0.87
2011-2012,2012-04,Sicily,46,379,62469,6.07,25,20.34,75,24.36,240,5.35,39,2.93
2011-2012,2012-04,Sardinia,6,20,5796,3.45,10,13.23,3,1.81,7,2.92,0,0
2011-2012,2012-05,Piedmont,43,566,56535,10.01,94,27.61,93,14.85,312,9.09,67,5.34
2011-2012,2012-05,Aosta Valley,5,85,7009,12.13,7,18.09,8,13.7,59,13.8,11,6.24
2011-2012,2012-05,Lombardy,140,1641,194992,8.42,376,23.27,423,15.04,730,6.61,112,2.79
2011-2012,2012-05,AP Bolzano,11,97,18794,5.16,19,31.4,14,5.94,61,4.97,3,0.84
2011-2012,2012-05,AP Trento,13,296,17018,17.39,123,86.07,86,24.53,73,7.89,14,4.94
2011-2012,2012-05,Veneto,79,1056,102254,10.33,244,33.61,248,17.71,484,8.2,80,3.64
2011-2012,2012-05,Friuli-Venezia Giulia,18,81,23409,3.46,22,10.89,18,5.15,34,2.68,7,1.34
2011-2012,2012-05,Liguria,37,313,43892,7.13,60,20.17,82,16.6,153,6.17,18,1.61
2011-2012,2012-05,Emilia-Romagna,72,1197,96474,12.41,280,39.86,281,20.63,557,10.15,79,3.77
2011-2012,2012-05,Tuscany,48,456,60918,7.49,64,20.06,108,16.22,236,6.42,48,3.35
2011-2012,2012-05,Umbria,13,142,15903,8.93,47,30.94,56,17.2,32,4.02,7,2.22
2011-2012,2012-05,Marche,17,384,20045,19.16,167,60.07,129,25.45,75,8.63,13,3.71
2011-2012,2012-05,Lazio,65,1125,82972,13.56,223,39.37,250,23.56,577,11.33,75,4.76
2011-2012,2012-05,Abruzzo,18,177,17763,9.96,53,27.72,78,20.61,39,4.35,7,2.26
2011-2012,2012-05,Molise,0,0,0,0,0,0,0,0,0,0,0,0
2011-2012,2012-05,Campania,29,601,34760,17.29,139,46.12,190,25.44,235,12.3,37,7.15
2011-2012,2012-05,Apulia,121,1028,157775,6.52,180,20.59,282,16.03,494,4.82,72,2.48
2011-2012,2012-05,Basilicata,1,14,1503,9.31,0,0,2,76.92,10,8.66,2,6.21
2011-2012,2012-05,Calabria,16,148,21348,6.93,42,18.88,63,13.75,39,3.42,4,1.28
2011-2012,2012-05,Sicily,43,377,58499,6.44,39,30.85,65,22.06,216,5.16,57,4.57
2011-2012,2012-05,Sardinia,8,61,7790,7.83,35,25.4,18,5.94,8,3.34,0,0
2011-2012,2012-06,Piedmont,39,485,50886,9.53,53,18.66,76,13.21,299,9.65,57,5.04
2011-2012,2012-06,Aosta Valley,4,76,5503,13.81,13,33.59,10,18.48,36,11.16,17,12.61
2011-2012,2012-06,Lombardy,136,1501,190177,7.89,287,19.42,357,13.65,731,6.69,126,3.16
2011-2012,2012-06,AP Bolzano,10,109,17057,6.39,21,34.71,28,11.95,57,5.24,3,0.93
2011-2012,2012-06,AP Trento,12,230,16048,14.33,51,45.9,52,18.42,109,11.93,18,6.04
2011-2012,2012-06,Veneto,78,1177,101385,11.61,239,34.78,258,19.07,577,9.78,103,4.68
2011-2012,2012-06,Friuli-Venezia Giulia,16,128,21147,6.05,41,20.29,39,11.23,41,3.7,7,1.53
2011-2012,2012-06,Liguria,38,278,44681,6.22,48,18.96,73,16.04,134,5.17,23,1.97
2011-2012,2012-06,Emilia-Romagna,71,910,93888,9.69,180,22.42,161,11.1,504,9.78,65,3.28
2011-2012,2012-06,Tuscany,45,384,57809,6.64,53,16.61,83,12.48,201,5.83,47,3.48
2011-2012,2012-06,Umbria,11,107,13261,8.07,25,20.02,44,17.98,33,4.91,5,1.76
