n_weeks,consolidation
1,95.91928489774287
2,97.43357473511472
3,98.3067726748464
4,98.72318948975945
5,99.02602969698891
6,99.23053812910341
7,99.32028880591534
8,99.26938868194611
9,99.38518583803831
10,99.41910913027932
11,99.5086962979444
12,99.54617717317612
13,99.49881599338251
14,99.4370466268951
15,99.43798379685268
16,99.38531080779798
17,99.36951859177614
18,99.37905818903725
19,99.34804557819972
20,99.34489003131281
21,99.30083539921091
22,99.29004724351789
23,99.27057254704603
24,99.29131478702743
25,99.27002978136154
