n_weeks,regione,consolidation
1,abruzzo,88.26210954019136
1,basilicata,NA
1,campania,80.86590723660125
1,emilia_romagna,96.45163051124165
1,friuli_venezia_giulia,91.47173709053408
1,lazio,98.85365849680282
1,liguria,95.83293635224994
1,lombardia,93.41460144341463
1,marche,98.45036307330683
1,molise,96.62631127078089
1,pa_bolzano,90.54842949896137
1,pa_trento,84.65882502958009
1,piemonte,99.81847397563868
1,puglia,90.80108062188978
1,sardegna,93.38153720467807
1,sicilia,95.49730916560985
1,toscana,93.57556498656145
1,umbria,89.1414878811315
1,valle_d_aosta,93.42989133079107
1,veneto,92.16958892409035
2,abruzzo,88.64291850367091
2,basilicata,NA
2,campania,85.0524471857092
2,emilia_romagna,97.14868281862866
2,friuli_venezia_giulia,92.6023677226534
2,lazio,99.10033913066896
2,liguria,96.54421281040653
2,lombardia,96.42261644883654
2,marche,94.65339863409386
2,molise,97.01629794201581
2,pa_bolzano,88.11096310685157
2,pa_trento,89.36746207318764
2,piemonte,98.06891634159216
2,puglia,94.71801580732462
2,sardegna,95.936984882212
2,sicilia,95.89627175834435
2,toscana,95.62138335290204
2,umbria,88.28606508939512
2,valle_d_aosta,95.13416437394727
2,veneto,95.31873743036049
3,abruzzo,90.03997580309625
3,basilicata,NA
3,campania,91.95119648246207
3,emilia_romagna,97.26980147132026
3,friuli_venezia_giulia,90.79555483926062
3,lazio,99.30195754025921
3,liguria,96.16498229281929
3,lombardia,97.55918292376464
3,marche,93.65223063833112
3,molise,96.57891116364291
3,pa_bolzano,87.4086004032597
3,pa_trento,90.6740812647576
3,piemonte,97.40011413410737
3,puglia,94.20182911987511
3,sardegna,96.29313329146616
3,sicilia,96.39712196632341
3,toscana,96.5341369349542
3,umbria,90.72973756126054
3,valle_d_aosta,96.00672368458685
3,veneto,97.026623682615
4,abruzzo,92.40967619068729
4,basilicata,NA
4,campania,92.49655223935198
4,emilia_romagna,97.26980447524696
4,friuli_venezia_giulia,91.20412815448037
4,lazio,99.35038670693827
4,liguria,96.19519119084006
4,lombardia,98.6292567215546
4,marche,93.61506283301448
4,molise,96.44206761018863
4,pa_bolzano,86.86771348983534
4,pa_trento,92.69370279470877
4,piemonte,97.19116923696367
4,puglia,93.7451453855021
4,sardegna,96.37742088677291
4,sicilia,96.64512348558367
4,toscana,96.30733360976056
4,umbria,90.63870733154073
4,valle_d_aosta,95.85235776112502
4,veneto,98.00318469539272
5,abruzzo,95.80320706552195
5,basilicata,NA
5,campania,91.92939023411303
5,emilia_romagna,97.5855093188454
5,friuli_venezia_giulia,90.86985652984197
5,lazio,99.32451646044363
5,liguria,96.52410877362121
5,lombardia,99.09027832680675
5,marche,93.32723631647539
5,molise,96.29382042727983
5,pa_bolzano,87.58793935032158
5,pa_trento,93.02179027024012
5,piemonte,97.17145297456977
5,puglia,94.0297331042987
5,sardegna,96.8272187722705
5,sicilia,97.41285195402352
5,toscana,96.10872667062303
5,umbria,93.86691659066813
5,valle_d_aosta,96.27418947556046
5,veneto,98.3298666214464
6,abruzzo,97.45505129797668
6,basilicata,NA
6,campania,92.19975997234386
6,emilia_romagna,97.70998828473131
6,friuli_venezia_giulia,90.72673169889545
6,lazio,99.33520803437295
6,liguria,96.65840745262135
6,lombardia,99.02962042820883
6,marche,93.68819044006446
6,molise,96.15136596746446
6,pa_bolzano,89.44838512471073
6,pa_trento,92.23941202615956
6,piemonte,97.14172869219932
6,puglia,94.67368835326006
6,sardegna,96.68927176236922
6,sicilia,97.61142066906571
6,toscana,96.24493761574016
6,umbria,93.98205973120365
6,valle_d_aosta,96.20482131319595
6,veneto,98.39099722300415
7,abruzzo,97.85767714203453
7,basilicata,NA
7,campania,92.67881964395268
7,emilia_romagna,97.66115605765202
7,friuli_venezia_giulia,90.72672928679653
7,lazio,99.30715275372565
7,liguria,96.84338947066398
7,lombardia,98.86625258523598
7,marche,93.14975116392064
7,molise,95.97642805689466
7,pa_bolzano,87.2542537690869
7,pa_trento,91.58313517693597
7,piemonte,97.36743297922506
7,puglia,95.2027795014554
