"Settimana","A/non sottotipizzati","A(H1N1)","A(H3N2)","B","SARS-CoV2","Adenovirus","Bocavirus","Coronavirus (no SARS CoV2)","Metapneumovirus","Rhinovirus","RSV","Virus Parainfluenzali","Andamento RespiVirNet-Epi"
"46",1,14,5,4,53,61,5,23,3,247,18,39,7.4
"47",1,22,2,6,65,55,5,32,4,267,29,51,8.03
"48",2,33,6,12,68,68,9,45,11,313,64,45,8.55
"49",11,42,6,18,98,90,9,75,11,338,85,50,9.05
"50",10,70,19,30,90,86,9,76,12,281,139,31,10.19
"51",20,127,40,56,77,102,13,87,23,287,149,41,10.74
"52",48,157,67,76,69,77,15,82,19,185,205,15,10.53
"1",68,317,191,125,93,72,16,105,41,207,207,19,12.37
"2",118,500,250,186,104,61,17,114,33,219,233,21,14.95
"3",130,547,288,259,95,69,23,137,44,237,256,33,16.05
"4",169,654,358,441,85,62,23,132,74,218,403,19,17.37
"5",158,538,391,495,64,61,31,116,81,215,403,11,16.82
"6",117,333,322,458,56,62,20,106,84,218,440,14,15.26
"7",104,299,295,507,42,64,36,113,89,237,432,10,14.23
"8",78,172,292,442,29,76,21,110,129,247,405,19,13.07
"9",88,140,273,431,35,67,28,85,127,237,314,15,11.31
"10",48,104,225,312,25,68,28,52,154,241,262,10,9.79
"11",26,67,190,281,29,60,22,68,188,231,209,13,8.66
"12",25,37,156,165,21,61,18,64,149,226,190,17,7.49
"13",19,29,87,93,22,67,19,54,157,252,146,18,6.9
"14",12,19,80,99,14,49,17,32,168,294,116,31,6.13
"15",8,14,52,48,18,53,9,37,153,275,67,19,5.75
"16",3,14,34,26,14,43,8,28,93,211,52,38,4.89
"17",8,3,13,10,7,26,6,18,68,148,33,21,3.75
