Settimana,A,Other
46,13.31923890063425,86.68076109936575
47,15.213358070500927,84.78664192949907
48,14.540059347181009,85.45994065281899
49,15.24609843937575,84.75390156062424
50,18.779342723004692,81.2206572769953
51,27.788649706457925,72.21135029354208
52,35.700197238658774,64.29980276134121
1,49.21178889650445,50.78821110349554
2,57.91464073473798,42.08535926526202
3,59.23295454545454,40.76704545454545
4,62.1056632459141,37.8943367540859
5,62.157935887412044,37.842064112587956
6,55.84532374100719,44.1546762589928
7,54.332129963898915,45.667870036101085
8,49.6206373292868,50.3793626707132
9,51.18059987236758,48.81940012763242
10,NA,NA
