anno,settimana,luogo,tipo_valore,id_valore,orizzonte,valore,target
2025,3,IT,quantile,0.01,-1,1.1266,ILI+_FLU_B
2025,3,IT,quantile,0.01,0,1.3442,ILI+_FLU_B
2025,3,IT,quantile,0.01,1,1.5663,ILI+_FLU_B
2025,3,IT,quantile,0.01,2,1.7797,ILI+_FLU_B
2025,3,IT,quantile,0.01,3,1.973,ILI+_FLU_B
2025,3,IT,quantile,0.01,4,2.1264,ILI+_FLU_B
2025,3,IT,quantile,0.025,-1,1.1517,ILI+_FLU_B
2025,3,IT,quantile,0.025,0,1.3703,ILI+_FLU_B
2025,3,IT,quantile,0.025,1,1.5969,ILI+_FLU_B
2025,3,IT,quantile,0.025,2,1.8291,ILI+_FLU_B
2025,3,IT,quantile,0.025,3,2.048,ILI+_FLU_B
2025,3,IT,quantile,0.025,4,2.2352,ILI+_FLU_B
2025,3,IT,quantile,0.05,-1,1.1781,ILI+_FLU_B
2025,3,IT,quantile,0.05,0,1.4105,ILI+_FLU_B
2025,3,IT,quantile,0.05,1,1.6562,ILI+_FLU_B
2025,3,IT,quantile,0.05,2,1.8988,ILI+_FLU_B
2025,3,IT,quantile,0.05,3,2.1269,ILI+_FLU_B
2025,3,IT,quantile,0.05,4,2.315,ILI+_FLU_B
2025,3,IT,quantile,0.1,-1,1.2125,ILI+_FLU_B
2025,3,IT,quantile,0.1,0,1.4728,ILI+_FLU_B
2025,3,IT,quantile,0.1,1,1.7423,ILI+_FLU_B
2025,3,IT,quantile,0.1,2,2.0095,ILI+_FLU_B
2025,3,IT,quantile,0.1,3,2.2523,ILI+_FLU_B
2025,3,IT,quantile,0.1,4,2.463,ILI+_FLU_B
2025,3,IT,quantile,0.15,-1,1.2336,ILI+_FLU_B
2025,3,IT,quantile,0.15,0,1.5013,ILI+_FLU_B
2025,3,IT,quantile,0.15,1,1.7914,ILI+_FLU_B
2025,3,IT,quantile,0.15,2,2.076,ILI+_FLU_B
2025,3,IT,quantile,0.15,3,2.3446,ILI+_FLU_B
2025,3,IT,quantile,0.15,4,2.5601,ILI+_FLU_B
2025,3,IT,quantile,0.2,-1,1.2489,ILI+_FLU_B
2025,3,IT,quantile,0.2,0,1.5239,ILI+_FLU_B
2025,3,IT,quantile,0.2,1,1.8234,ILI+_FLU_B
2025,3,IT,quantile,0.2,2,2.1272,ILI+_FLU_B
2025,3,IT,quantile,0.2,3,2.4071,ILI+_FLU_B
2025,3,IT,quantile,0.2,4,2.6254,ILI+_FLU_B
2025,3,IT,quantile,0.25,-1,1.2627,ILI+_FLU_B
2025,3,IT,quantile,0.25,0,1.5515,ILI+_FLU_B
2025,3,IT,quantile,0.25,1,1.8576,ILI+_FLU_B
2025,3,IT,quantile,0.25,2,2.1673,ILI+_FLU_B
